No,Code,CompanyName,DateRecording,stocks,recordingboard
624,STAR,Buana Artha Anugerah Tbk.,13 Jul 2011,4.800.000.602,Utama
625,STTP,Siantar Top Tbk.,16 Des 1996,1.310.000.000,Pengembangan
626,SUGI,Sugih Energy Tbk.,19 Jun 2002,24.811.541.414,Pengembangan
627,SULI,SLJ Global Tbk.,21 Mar 1994,3.986.916.802,Utama
628,SUPR,Solusi Tunas Pratama Tbk.,11 Okt 2011,1.137.579.698,Pengembangan
629,SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,Pengembangan
630,SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pengembangan
631,TALF,Tunas Alfin Tbk.,12 Feb 2001,1.353.435.000,Pengembangan
632,TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.000.000.005,Pengembangan
633,TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,37.500.000.000,Pengembangan
634,TARA,Agung Semesta Sejahtera Tbk.,11 Jul 2014,10.069.645.750,Utama
635,TAXI,Express Transindo Utama Tbk.,02 Nov 2012,6.145.600.000,Utama
636,TBIG,Tower Bersama Infrastructure T,26 Okt 2010,22.656.999.445,Utama
637,TBLA,Tunas Baru Lampung Tbk.,14 Feb 2000,5.342.098.939,Utama
638,TBMS,Tembaga Mulia Semanan Tbk.,23 Mei 1990,367.340.000,Pengembangan
639,TCID,Mandom Indonesia Tbk.,30 Sep 1993,201.066.667,Utama
640,TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,Pengembangan
641,TDPM,Tridomain Performance Material,09 Apr 2018,10.485.050.500,Utama
642,TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,1.285.000.000,Pengembangan
643,TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pengembangan
644,TELE,Tiphone Mobile Indonesia Tbk.,12 Jan 2012,7.302.194.889,Utama
645,TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
646,TFCO,Tifico Fiber Indonesia Tbk.,26 Feb 1980,4.823.076.400,Pengembangan
647,TGKA,Tigaraksa Satria Tbk.,11 Jun 1990,918.492.750,Pengembangan
648,TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Utama
649,TIFA,KDB Tifa Finance Tbk.,08 Jul 2011,1.079.700.000,Pengembangan
650,TINS,Timah Tbk.,19 Okt 1995,7.447.753.454,Utama
651,TIRA,Tira Austenite Tbk,27 Jul 1993,588.000.000,Pengembangan
652,TIRT,Tirta Mahakam Resources Tbk,13 Des 1999,1.011.774.750,Utama
653,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,03 Apr 1990,3.113.223.570,Utama
654,TLKM,Telkom Indonesia (Persero) Tbk,14 Nov 1995,99.062.216.600,Utama
655,TMAS,Temas Tbk.,09 Jul 2003,5.705.150.000,Utama
656,TMPO,Tempo Intimedia Tbk.,08 Jan 2001,1.058.333.250,Pengembangan
657,TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan
658,TOBA,TBS Energi Utama Tbk.,06 Jul 2012,8.049.964.000,Utama
659,TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Utama
660,TOTL,Total Bangun Persada Tbk.,25 Jul 2006,3.410.000.000,Utama
661,TOTO,Surya Toto Indonesia Tbk.,30 Okt 1990,10.320.000.000,Pengembangan
662,TOWR,Sarana Menara Nusantara Tbk.,08 Mar 2010,51.014.625.000,Utama
663,TOYS,Sunindo Adipersada Tbk.,06 Ags 2020,1.435.000.000,Pengembangan
664,TPIA,Chandra Asri Petrochemical Tbk,24 Jun 1996,17.833.520.260,Pengembangan
665,TPMA,Trans Power Marine Tbk.,20 Feb 2013,2.633.300.000,Pengembangan
666,TRAM,Trada Alam Minera Tbk.,10 Sep 2008,49.643.627.934,Utama
667,TRIL,Triwira Insanlestari Tbk.,28 Jan 2008,1.200.000.000,Pengembangan
668,TRIM,Trimegah Sekuritas Indonesia T,31 Jan 2000,7.109.300.000,Utama
669,TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.373.363.527,Pengembangan
670,TRIO,Trikomsel Oke Tbk.,14 Apr 2009,26.007.494.645,Utama
671,TRIS,Trisula International Tbk.,28 Jun 2012,3.141.443.806,Pengembangan
672,TRJA,Transkon Jaya Tbk.,27 Ags 2020,1.510.200.000,Pengembangan
673,TRST,Trias Sentosa Tbk.,02 Jul 1990,2.808.000.000,Utama
674,TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan
675,TRUS,Trust Finance Indonesia Tbk,28 Nov 2002,800.000.000,Pengembangan
676,TSPC,Tempo Scan Pacific Tbk.,17 Jun 1994,4.500.000.000,Utama
677,TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,1.777.777.800,Pengembangan
678,TURI,Tunas Ridean Tbk.,16 Mei 1995,5.580.000.000,Utama
679,UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
680,UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
681,ULTJ,Ultra Jaya Milk Industry & Tra,02 Jul 1990,11.553.528.000,Utama
682,UNIC,Unggul Indah Cahaya Tbk.,06 Nov 1989,383.331.363,Utama
683,UNIT,Nusantara Inti Corpora Tbk,18 Apr 2002,75.422.200,Pengembangan
684,UNSP,Bakrie Sumatera Plantations Tb,06 Mar 1990,2.500.162.344,Utama
685,UNTR,United Tractors Tbk.,19 Sep 1989,3.730.135.136,Utama
686,UNVR,Unilever Indonesia Tbk.,11 Jan 1982,38.150.000.000,Utama
687,URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.588,Pengembangan
688,VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
689,VICO,Victoria Investama Tbk.,08 Jul 2013,9.150.094.680,Utama
690,VINS,Victoria Insurance Tbk.,28 Sep 2015,1.460.573.616,Pengembangan
691,VIVA,Visi Media Asia Tbk.,21 Nov 2011,16.464.270.400,Utama
692,VOKS,Voksel Electric Tbk.,20 Des 1990,4.155.602.595,Utama
693,VRNA,Verena Multi Finance Tbk.,25 Jun 2008,5.687.353.997,Pengembangan
694,WAPO,Wahana Pronatural Tbk.,22 Jun 2001,1.240.923.111,Pengembangan
695,WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Utama
696,WEHA,WEHA Transportasi Indonesia Tb,31 Mei 2007,886.411.265,Utama
697,WICO,Wicaksana Overseas Internation,08 Ags 1994,1.268.950.977,Pengembangan
698,WIFI,Solusi Sinergi Digital Tbk.,30 Des 2020,1.947.077.000,Pengembangan
699,WIIM,Wismilak Inti Makmur Tbk.,18 Des 2012,2.099.873.760,Utama
700,WIKA,Wijaya Karya (Persero) Tbk.,29 Okt 2007,8.969.951.372,Utama
701,WINS,Wintermar Offshore Marine Tbk.,29 Nov 2010,4.243.011.640,Utama
702,WOMF,Wahana Ottomitra Multiartha Tb,13 Des 2004,3.481.481.480,Utama
703,WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.306.250.000,Utama
704,WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,2.475.720.000,Pengembangan
705,WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,26.361.157.534,Utama
706,WSKT,Waskita Karya (Persero) Tbk.,19 Des 2012,13.573.951.000,Utama
707,WTON,Wijaya Karya Beton Tbk.,08 Apr 2014,8.715.466.600,Utama
708,YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,380.043.597,Pengembangan
709,YPAS,Yanaprima Hastapersada Tbk,05 Mar 2008,668.000.089,Pengembangan
710,YULE,Yulie Sekuritas Indonesia Tbk.,10 Des 2004,1.785.000.000,Pengembangan
711,ZBRA,Zebra Nusantara Tbk,01 Ags 1991,856.133.009,Pengembangan
712,ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,25.250.000.000,Pengembangan
713,ZONE,Mega Perintis Tbk.,12 Des 2018,870.171.478,Pengembangan
